strategy,period_start_h,method,n,n_uncensored,n_covariates,converged,iterations,max_abs_delta,auc,calib_intercept,calib_slope,p_min,p_p01,p_p50,p_p99,p_max,p_lt_1e4,degenerate
early_48,0,ridge_0.01,10927,10927,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,6,ridge_0.01,10724,10724,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,12,ridge_0.01,10614,10614,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,18,ridge_0.01,10547,10547,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,24,ridge_0.01,10431,10431,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,30,ridge_0.01,10313,10313,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,36,ridge_0.01,10247,10247,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,42,ridge_0.01,10208,2626,28,True,,,0.6762314159301813,6.385881927447215e-05,1.0000776254484964,0.014326281057454673,0.04831634553994235,0.24908942263333195,0.6357402122525669,0.80646221635483,0,
early_48,48,ridge_0.01,2554,2554,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,54,ridge_0.01,2530,2530,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,60,ridge_0.01,2516,2516,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,66,ridge_0.01,2510,2510,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,72,ridge_0.01,2497,2497,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,78,ridge_0.01,2482,2482,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,84,ridge_0.01,2469,2469,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
early_48,90,ridge_0.01,2466,2466,28,True,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0,all_uncensored
delayed_96,0,ridge_0.01,10927,10835,28,True,,,0.7461948997813046,-0.016691024306055763,1.0039432924847236,0.9038117547693568,0.960452811904697,0.9933089393502588,0.9999939751882969,0.9999999986997119,0,
delayed_96,6,ridge_0.01,10632,10438,28,True,,,0.684659837271824,-0.0033615445357852306,1.00095930643002,0.8413552911572493,0.9334423056697385,0.984185805121703,0.9986382665328322,0.9999725908966632,0,
delayed_96,12,ridge_0.01,10329,9946,28,True,,,0.6682561025359395,-0.0016558866081258633,1.0005756642371668,0.7772652071658996,0.8881755644589547,0.96703362587006,0.9960375748291297,0.9999280496031809,0,
delayed_96,18,ridge_0.01,9880,9387,28,True,,,0.6876466547430513,-0.0010593072400765318,1.000415586787655,0.6287229794518978,0.8225034880737981,0.9573936009304598,0.9945127107186998,0.9998556546706056,0,
