id,estimator,early_h,delay_h,early_risk,delayed_risk,rd,rr,rd_ci_lo,rd_ci_hi,rr_ci_lo,rr_ci_hi,n_boot_ok,n_boot_failed,ci,trim,n_uncensored_early,n_uncensored_delayed
msm_48_96_primary,msm,48,96,0.37416736867371964,0.22729655354870448,0.14687081512501515,1.6461638455663785,0.13096838492458115,0.16399620924044,1.5660946648660876,1.7403166942947013,2000,0,bca_2000,,,
hajek_48_96,hajek,48,96,0.40773332914131216,0.2276614847542677,0.18007184438704446,1.7909631468028493,,,,,0,0,,,3345,6994
msm_24_48,msm,24,48,0.4325789300982057,0.23164936019417884,0.20092956990402686,1.8673866819040585,0.17930947420292476,0.22140654369397358,1.7581102385316574,1.9721307661590148,100,0,percentile_100,,1650,8337
msm_24_72,msm,24,72,0.4307700073132621,0.2268285331348476,0.2039414741784145,1.8990997356455726,0.18005029556636998,0.2257942119346689,1.7722985946233847,2.017324117756626,100,0,percentile_100,,1650,7464
msm_24_96,msm,24,96,0.43092842332280107,0.22529699063463474,0.20563143268816633,1.9127127357934393,0.18349623972011567,0.22689401220287614,1.8003714287901977,2.030102062610221,100,0,percentile_100,,1650,6994
msm_36_72,msm,36,72,0.3943368060279941,0.22781305394611706,0.16652375208187703,1.7309666816602338,0.1481732065384116,0.184045062090788,1.6399320212443689,1.8284525508589142,100,0,percentile_100,,2504,7464
msm_36_96,msm,36,96,0.39452774968515536,0.22639348551166086,0.1681342641734945,1.7426638791902622,0.14930089685458328,0.18542405651568553,1.6483037554431816,1.834321427197319,100,0,percentile_100,,2504,6994
msm_48_72,msm,48,72,0.37391051033938666,0.2286589196184491,0.14525159072093755,1.6352325593215917,0.1323911043407973,0.16155671205624975,1.5638843246700018,1.7225453601278076,100,0,percentile_100,,3345,7464
msm_48_96_trim_p95,msm,48,96,0.3749022774367503,0.22960013346006886,0.14530214397668145,1.6328486912746147,0.1310842496516945,0.16044882707919103,1.5574875753589295,1.7154405759442588,100,0,percentile_100,0.95,3345,6994
msm_48_96_trim_p99,msm,48,96,0.3740688775783779,0.22782743430505975,0.14624144327331817,1.641895668620407,0.132991708681666,0.1622733470785931,1.5688424458065378,1.7273408694599834,100,0,percentile_100,0.99,3345,6994
msm_48_96_trim_p995,msm,48,96,0.37377229872712775,0.2274954571885949,0.14627684153853285,1.6429879670839695,0.13340205862368196,0.1624898839117015,1.5716411400734651,1.7310185103898044,100,0,percentile_100,0.995,3345,6994
msm_48_96_no_careunit,msm,48,96,0.3759772455588172,0.2284987758184191,0.14747846974039808,1.6454234566998058,0.13447681245990054,0.16565994221861208,1.5723674101086687,1.746551173626673,100,0,percentile_100,,3345,6994
msm_90d_48_96,msm,48,96,0.4219594996652708,0.2723403323494322,0.14961916731583857,1.5493830679616944,,,,,0,0,point_only,,,
aj_28d_inhospital,aj,48,96,0.3737256552569437,0.1955734072341465,0.17815224802279717,1.9109226583627896,,,,,0,0,point_only,,,
msm_mice20,msm_mice,48,96,,,0.15187248031665287,1.6700849677867935,0.1352267197932316,0.16851824084007416,1.5822446578872678,1.7579252776863192,20,0,rubin_mice20,,,
msm_with_cvicu_ccu,msm,48,96,0.32565288490076605,0.14574160506258343,0.17991127983818261,2.2344538113253676,0.15736291371974162,0.20079587236642762,2.070806822224911,2.360677395882259,100,0,percentile_100,,3713,15060
