characteristic,kind,eligible,en48,no_en48,missing_pct,smd_unweighted,smd_weighted
"Age, years",cont,59.5 (18.4); 61.0 [48.0–74.0],62.0 (17.2); 64.0 [51.0–75.0],58.8 (18.7); 60.0 [47.0–73.0],0.0,0.1972887593169846,0.04557658411021519
Female,bin,"4,858 (43.1)","1,158 (44.6)","3,700 (42.7)",0.0,0.023313270032450536,0.0008192238080092058
"Race/ethnicity, White",bin,"6,272 (55.7)","1,371 (52.8)","4,901 (56.6)",0.0,-0.07846940506875529,-0.009168089911367458
Black,bin,962 (8.5),256 (9.8),706 (8.2),0.0,0.012478676434167576,-0.023396004757698614
Hispanic,bin,399 (3.5),85 (3.3),314 (3.6),0.0,-0.03134018007132755,-0.0029464759831003416
Asian,bin,319 (2.8),71 (2.7),248 (2.9),0.0,0.012817041130563261,0.013199020169572296
Other or unknown,bin,"3,307 (29.4)",816 (31.4),"2,491 (28.8)",0.0,0.08597303002817823,0.020745694156987477
"ICU, MICU",bin,"3,165 (28.1)",789 (30.4),"2,376 (27.4)",0.0,0.07099932872719426,0.0325688797681062
"ICU, any SICU",bin,"7,603 (67.5)","1,544 (59.4)","6,059 (70.0)",0.0,-0.13067629210177625,-0.01894286268024042
"ICU, neuro",bin,862 (7.7),365 (14.0),497 (5.7),0.0,0.16209448353257222,0.008726029655153818
"Admission location, ED",bin,"6,023 (53.5)","1,200 (46.2)","4,823 (55.7)",0.0,-0.0507122102511818,-0.0628019865857862
Transfer,bin,"3,038 (27.0)","1,005 (38.7)","2,033 (23.5)",0.0,0.19350769692184983,0.1411273283841843
Referral / clinic,bin,"1,978 (17.6)",353 (13.6),"1,625 (18.8)",0.0,-0.14434043861990228,-0.06447444299416509
OR / PACU / procedure,bin,129 (1.1),18 (0.7),111 (1.3),0.0,-0.05654715586042122,-0.0571231695515819
"First service, medical",bin,"5,262 (46.7)","1,290 (49.6)","3,972 (45.9)",0.0,0.07441124402176298,0.01956185970429329
Surgical,bin,"3,504 (31.1)",562 (21.6),"2,942 (34.0)",0.0,-0.22340581189620493,-0.09600329869795113
Neuro,bin,"2,459 (21.8)",737 (28.4),"1,722 (19.9)",0.0,0.16055913384833673,0.083350359889823
Cardiac surgery,bin,32 (0.3),9 (0.3),23 (0.3),0.0,-0.002302134509839312,-0.008335748503187333
"Admission type, emergency",bin,"9,205 (81.8)","2,254 (86.7)","6,951 (80.3)",0.0,0.1209769456075422,0.02028454452642217
Elective,bin,835 (7.4),116 (4.5),719 (8.3),0.0,-0.14601960076955683,-0.026880122239653314
Era 2008–2010,bin,"3,116 (27.7)",702 (27.0),"2,414 (27.9)",0.0,-0.026522401729568934,0.009519634597508805
2011–2013,bin,"2,625 (23.3)",475 (18.3),"2,150 (24.8)",0.0,-0.0709277689308118,-0.06598380378991311
2014–2016,bin,"2,644 (23.5)",518 (19.9),"2,126 (24.5)",0.0,-0.04906932049115215,-0.04233379996985509
2017–2019,bin,"2,158 (19.2)",596 (22.9),"1,562 (18.0)",0.0,0.06925155490603263,0.03723785608232092
2020–2022,bin,716 (6.4),308 (11.9),408 (4.7),0.0,0.14505988542472803,0.11035222025456133
Prior hospitalisation within 30 d,bin,733 (6.5),125 (4.8),608 (7.0),0.0,-0.041210327852190226,-0.030332795048319473
Vasopressor at t0 ±6 h,bin,"4,473 (39.7)","1,048 (40.3)","3,425 (39.5)",0.0,0.16516565794241783,0.05930653018566548
SOFA respiratory,cont,2.46 (1.41); 3.00 [1.00–4.00],2.69 (1.36); 3.00 [2.00–4.00],2.39 (1.41); 3.00 [1.00–4.00],49.7,0.08428221073604554,0.03639092720721887
SOFA coagulation,cont,0.53 (0.88); 0.00 [0.00–1.00],0.46 (0.83); 0.00 [0.00–1.00],0.55 (0.89); 0.00 [0.00–1.00],37.7,0.01895285470936075,0.04446505415029873
SOFA liver,cont,0.74 (1.15); 0.00 [0.00–1.00],0.54 (1.05); 0.00 [0.00–1.00],0.80 (1.18); 0.00 [0.00–2.00],67.1,0.0034185322175140495,0.06968115422714441
SOFA cardiovascular,cont,1.39 (1.37); 1.00 [0.00–3.00],1.39 (1.38); 1.00 [0.00–3.00],1.39 (1.36); 1.00 [0.00–3.00],0.9,0.1505459543262982,0.05490196047488865
SOFA CNS,cont,2.98 (1.06); 3.00 [3.00–4.00],3.03 (0.98); 3.00 [3.00–4.00],2.97 (1.08); 3.00 [2.00–4.00],16.8,0.08129302869443561,0.03254199311280203
SOFA renal,cont,2.63 (1.59); 3.00 [1.00–4.00],2.60 (1.57); 3.00 [1.00–4.00],2.64 (1.59); 3.00 [1.00–4.00],10.6,-0.040327205008302294,0.011718081277076874
GCS,cont,6.9 (3.5); 7.0 [3.0–9.0],6.7 (3.3); 6.0 [3.0–8.0],6.9 (3.6); 7.0 [3.0–10.0],16.8,-0.1427009211666479,-0.06893461260022428
"Admission weight, kg",cont,82.3 (25.8); 79.0 [66.0–94.8],83.6 (27.1); 80.0 [65.9–96.2],82.0 (25.4); 79.0 [66.1–94.0],0.9,-0.002538967379695164,0.01603956813322019
"PEEP, cmH2O",cont,6.0 (2.5); 5.0 [5.0–5.0],6.6 (3.2); 5.0 [5.0–8.0],5.9 (2.3); 5.0 [5.0–5.0],0.5,0.24340342372540433,0.17812374230486536
FiO2,cont,64.2 (26.4); 50.0 [45.0–100.0],65.1 (24.9); 50.0 [50.0–100.0],64.0 (26.9); 50.0 [40.0–100.0],0.4,0.14288202999499297,0.11710766397743297
"Tidal volume, mL",cont,462 (89); 450 [400–500],449 (83); 450 [400–500],466 (91); 450 [401–500],0.8,-0.10392225350238607,-0.044812628160432307
Sepsis-3,unavailable,,,,100.0,,
"Lactate, mmol/L",cont,3.1 (2.9); 2.2 [1.4–3.6],2.6 (2.2); 1.9 [1.3–2.9],3.3 (3.1); 2.3 [1.5–3.8],51.5,0.12120261249910426,0.1180084331346032
"Creatinine, mg/dL",cont,1.41 (1.40); 1.00 [0.70–1.50],1.44 (1.36); 1.00 [0.70–1.50],1.40 (1.41); 1.00 [0.70–1.50],37.3,0.06491912750068303,0.05640725629939884
"Bilirubin, mg/dL",cont,2.38 (5.12); 0.80 [0.40–1.80],2.07 (5.26); 0.60 [0.40–1.20],2.48 (5.07); 0.80 [0.40–2.00],67.1,0.04396245097756199,0.11535041225202736
