mapping_id,database_version,source_schema,source_table,itemid,source_label,clinical_variable,analysis_role,decision,rationale,reviewer,reviewed_on,evidence_reference,notes
EN_BP_225970,MIMIC-IV 3.1,mimiciv_icu,inputevents,225970,Beneprotein,qualifying_en,exposure,exclude,"Protein modular, not a complete EN formula volume. Codex+hy4 majority; author-confirmed 2026-08-30. May be a separate modular-protein covariate, not qualifying_en.",authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,category=Nutrition - Enteral; unit=grams; n_rows=8489
EN_BP_229583,MIMIC-IV 3.1,mimiciv_icu,inputevents,229583,Beneprotein.,qualifying_en,exposure,exclude,"Protein modular, not a complete EN formula volume. Codex+hy4 majority; author-confirmed 2026-08-30. May be a separate modular-protein covariate, not qualifying_en.",authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,category=Nutrition - Supplements; unit=mL; n_rows=3089
EN_ZF_227697,MIMIC-IV 3.1,mimiciv_icu,inputevents,227697,Fibersource HN (2/3),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Fibersource HN; n_rows=0
EN_ZF_226021,MIMIC-IV 3.1,mimiciv_icu,inputevents,226021,Impact (2/3),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Impact; n_rows=0
EN_ZF_226025,MIMIC-IV 3.1,mimiciv_icu,inputevents,226025,Impact with Fiber (2/3),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Impact with Fiber; n_rows=0
EN_ZF_228349,MIMIC-IV 3.1,mimiciv_icu,inputevents,228349,Nepro (1/4),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Nepro; n_rows=0
EN_ZF_228350,MIMIC-IV 3.1,mimiciv_icu,inputevents,228350,Nepro (3/4),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Nepro; n_rows=0
EN_ZF_227972,MIMIC-IV 3.1,mimiciv_icu,inputevents,227972,NovaSource Renal (1/4),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=NovaSource Renal; n_rows=0
EN_ZF_226018,MIMIC-IV 3.1,mimiciv_icu,inputevents,226018,Nutren 2.0 (3/4),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Nutren 2.0; n_rows=0
EN_ZF_226029,MIMIC-IV 3.1,mimiciv_icu,inputevents,226029,Nutren Renal (2/3),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Nutren Renal; n_rows=0
EN_ZF_226037,MIMIC-IV 3.1,mimiciv_icu,inputevents,226037,Peptamen 1.5 (2/3),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Peptamen 1.5; n_rows=0
EN_ZF_227374,MIMIC-IV 3.1,mimiciv_icu,inputevents,227374,Peptamen VHP (1/2),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Peptamen VHP; n_rows=0
EN_ZF_227373,MIMIC-IV 3.1,mimiciv_icu,inputevents,227373,Peptamen VHP (1/4),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Peptamen VHP; n_rows=0
EN_ZF_227372,MIMIC-IV 3.1,mimiciv_icu,inputevents,227372,Peptamen VHP (2/3),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Peptamen VHP; n_rows=0
EN_ZF_227371,MIMIC-IV 3.1,mimiciv_icu,inputevents,227371,Peptamen VHP (3/4),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Peptamen VHP; n_rows=0
EN_ZF_227370,MIMIC-IV 3.1,mimiciv_icu,inputevents,227370,Peptamen VHP (Full),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Peptamen VHP; n_rows=0
EN_ZF_226043,MIMIC-IV 3.1,mimiciv_icu,inputevents,226043,ProBalance (1/2),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=ProBalance; n_rows=0
